date,day_of_the_week,time,time_of_day,olney_secs,college_park_secs,olney_mins,college_park_mins,olney_hours,college_park_hours
11/13/2019,Wednesday,6:00,Morning,2398,2405,39.96666667,40.08333333,0.6661111111,0.6680555556
11/13/2019,Wednesday,6:20,Morning,2555,2689,42.58333333,44.81666667,0.7097222222,0.7469444444
11/13/2019,Wednesday,6:40,Morning,2850,2774,47.5,46.23333333,0.7916666667,0.7705555556
11/13/2019,Wednesday,7:00,Morning,3217,3217,53.61666667,53.61666667,0.8936111111,0.8936111111
11/13/2019,Wednesday,7:20,Morning,3127,3167,52.11666667,52.78333333,0.8686111111,0.8797222222
11/13/2019,Wednesday,7:40,Morning,3385,3235,56.41666667,53.91666667,0.9402777778,0.8986111111
11/13/2019,Wednesday,8:00,Morning,3594,3283,59.9,54.71666667,0.9983333333,0.9119444444
11/13/2019,Wednesday,8:20,Morning,3483,3250,58.05,54.16666667,0.9675,0.9027777778
11/13/2019,Wednesday,8:40,Morning,3494,3366,58.23333333,56.1,0.9705555556,0.935
11/13/2019,Wednesday,9:00,Morning,3252,3458,54.2,57.63333333,0.9033333333,0.9605555556
11/13/2019,Wednesday,9:20,Morning,3070,3051,51.16666667,50.85,0.8527777778,0.8475
11/13/2019,Wednesday,9:40,Morning,3009,2788,50.15,46.46666667,0.8358333333,0.7744444444
11/13/2019,Wednesday,10:00,Morning,2806,2754,46.76666667,45.9,0.7794444444,0.765
11/13/2019,Wednesday,10:20,Morning,2518,2552,41.96666667,42.53333333,0.6994444444,0.7088888889
11/13/2019,Wednesday,10:40,Morning,2484,2351,41.4,39.18333333,0.69,0.6530555556
11/13/2019,Wednesday,15:00,Evening,3913,3753,65.21666667,62.55,1.086944444,1.0425
11/13/2019,Wednesday,15:20,Evening,4069,4117,67.81666667,68.61666667,1.130277778,1.143611111
11/13/2019,Wednesday,15:40,Evening,4556,4469,75.93333333,74.48333333,1.265555556,1.241388889
11/13/2019,Wednesday,16:00,Evening,5013,4781,83.55,79.68333333,1.3925,1.328055556
11/13/2019,Wednesday,16:20,Evening,5092,4925,84.86666667,82.08333333,1.414444444,1.368055556
11/13/2019,Wednesday,16:40,Evening,5038,4671,83.96666667,77.85,1.399444444,1.2975
11/13/2019,Wednesday,17:00,Evening,5125,5097,85.41666667,84.95,1.423611111,1.415833333
11/13/2019,Wednesday,17:20,Evening,5006,5054,83.43333333,84.23333333,1.390555556,1.403888889
11/13/2019,Wednesday,17:40,Evening,5011,5139,83.51666667,85.65,1.391944444,1.4275
11/13/2019,Wednesday,18:00,Evening,4596,4657,76.6,77.61666667,1.276666667,1.293611111
11/13/2019,Wednesday,18:20,Evening,4360,4576,72.66666667,76.26666667,1.211111111,1.271111111
